ITEM CODE ,ITEM DESCRIPTION ,SLICE,ORDER QTY PALLET ,QTY CARTONS IN ONE PALLET,ORDER QTY CARTONS,QTY BOXES IN ONE CARTON,TOTAL BOX ORDER,Unit PRICE, TOTAL AMOUNT, Shipment from Turkey, Custom Fee %7, 45 days storage, pallet weight, box weight, domestic shipping cost, Total Box Cost, DİST Margin %25, Slice Sales Price,,"2,5"
MM10793,Red Velvet Pasta (12 Dilim),12,"3,0",48,144,6,864,"€ 11,10","€ 9.590,40","€ 0,56","€ 0,82","€ 0,08","443,50","1,54","€ 0,45","€ 13,01","€ 17,34","€ 1,45","56,3%","€ 3,61"
MM11003,Fıstık Rüyası (12 Dilim),12,"4,0",48,192,6,1.152,"€ 17,40","€ 20.044,80","€ 0,56","€ 1,26","€ 0,08","556,00","1,93","€ 0,57","€ 19,86","€ 26,49","€ 2,21","52,2%","€ 5,52"
MM10072,Mono Latte (9 Adet),9,"2,5",48,120,6,720,"€ 11,48","€ 8.265,60","€ 0,56","€ 0,84","€ 0,08","522,00","1,81","€ 0,53","€ 13,49","€ 17,99","€ 2,00","56,7%","€ 5,00"
MM10473,San Sebastıan Burnt Cheesecake (10 Dilim),10,"2,5",48,120,6,720,"€ 16,70","€ 12.024,00","€ 0,56","€ 1,21","€ 0,08","594,50","2,06","€ 0,61","€ 19,15","€ 25,54","€ 2,55","52,9%","€ 6,38"
MM10796,Belçika Çikolatalı Pasta (12 Dilim),12,"2,5",60,150,4,600,"€ 18,72","€ 11.232,00","€ 0,56","€ 1,35","€ 0,09","626,50","2,61","€ 0,77","€ 21,49","€ 28,66","€ 2,39","53,1%","€ 5,97"
MM10028,Karamelli Trileçe (9 Dilim),9,"1,5",60,90,6,540,"€ 9,36","€ 5.054,40","€ 0,56","€ 0,69","€ 0,06","650,00","1,81","€ 0,53","€ 11,21","€ 14,95","€ 1,66","59,7%","€ 4,15"
MM10978,Mono Frambuazlı Kalpli Pasta (5 Adet),5,"2,0",48,96,6,576,"€ 12,35","€ 7.113,60","€ 0,56","€ 0,90","€ 0,08","426,00","1,48","€ 0,44","€ 14,33","€ 19,10","€ 3,82","54,7%","€ 9,55"
MM10056,Tiramisu (12  Dilim),12,"2,0",48,96,6,576,"€ 10,35","€ 5.961,60","€ 0,56","€ 0,76","€ 0,08","454,50","1,58","€ 0,46","€ 12,22","€ 16,29","€ 1,36","57,4%","€ 3,39"
MM10600,Havuçlu Kek (12 Dilim),12,"2,0",60,120,4,480,"€ 10,43","€ 5.006,40","€ 0,56","€ 0,77","€ 0,09","429,00","1,79","€ 0,53","€ 12,38","€ 16,51","€ 1,38","58,3%","€ 3,44"
MM10727,Mono Redvelvet Pasta (9 Adet),9,"1,0",48,48,6,288,"€ 12,96","€ 3.732,48","€ 0,56","€ 0,95","€ 0,08","507,50","1,76","€ 0,52","€ 15,06","€ 20,08","€ 2,23","55,0%","€ 5,58"
MM10070,Mono Siyah Profiterollü Pasta (9 Adet),9,"1,0",48,48,6,288,"€ 12,42","€ 3.576,96","€ 0,56","€ 0,91","€ 0,08","548,50","1,90","€ 0,56","€ 14,53","€ 19,37","€ 2,15","56,0%","€ 5,38"
MM11190,Portolata (12 Dilim),12,"1,0",48,48,6,288,"€ 15,57","€ 4.484,16","€ 0,56","€ 1,13","€ 0,08","592,00","2,06","€ 0,60","€ 17,94","€ 23,92","€ 1,99","53,7%","€ 4,98"
MM10598,Çikolatalı Pasta (12 Dilim),12,"1,0",60,60,4,240,"€ 12,12","€ 2.908,80","€ 0,56","€ 0,89","€ 0,09","581,50","2,42","€ 0,71","€ 14,37","€ 19,17","€ 1,60","58,1%","€ 3,99"
MM10060,Mozaik Pasta (14 Dilim),14,"1,0",60,60,4,240,"€ 13,50","€ 3.240,00","€ 0,56","€ 0,98","€ 0,09","608,00","2,53","€ 0,75","€ 15,88","€ 21,18","€ 1,51","56,9%","€ 3,78"
MM10030,Kare Tiramisu (9 Dilim),9,"1,0",48,48,6,288,"€ 11,76","€ 3.386,88","€ 0,56","€ 0,86","€ 0,08","564,00","1,96","€ 0,58","€ 13,84","€ 18,45","€ 2,05","56,9%","€ 5,12"
MM10087,Sufle Büyük (Pişmiş 10 Adet),10,"1,0",48,48,4,192,"€ 13,47","€ 2.586,24","€ 0,56","€ 0,98","€ 0,12","521,00","2,71","€ 0,80","€ 15,93","€ 21,24","€ 2,12","57,7%","€ 5,31"
MM10000,Frambuazlı Cheesecake (10  Dilim),10,"1,0",48,48,6,288,"€ 12,53","€ 3.608,64","€ 0,56","€ 0,92","€ 0,08","565,50","1,96","€ 0,58","€ 14,66","€ 19,55","€ 1,96","56,0%","€ 4,89"
MM10001,Limonlu Cheesecake (10 Dilim),10,"1,5",48,72,6,432,"€ 12,53","€ 5.412,96","€ 0,56","€ 0,92","€ 0,08","565,00","1,96","€ 0,58","€ 14,66","€ 19,55","€ 1,95","56,0%","€ 4,89"
MM11272,Almondy Cake (12 Dilim),12,"0,5",48,24,6,144,"€ 15,00","€ 2.160,00","€ 0,56","€ 1,09","€ 0,08","550,00","1,91","€ 0,56","€ 17,29","€ 23,05","€ 1,92","53,7%","€ 4,80"
,,,,,,,,,,,,,,,,,,,,
,,,"32,0",,"1.632,0", ,"8.916,0",TOTAL,"119.389,92",,,,,,,,,,,