,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sweet Heaven Market Grubu Pasta Fiyat Listesi-28.10.2025,,,,,,,,,,,
 Ürün Kodu, Ürün Adı, Kutu Gramaj, Dilim Gramaj , Liste Fiyatı(Kutu), Liste Fiyatı(Dilim), Distribütör Fiyatı (Dilim)  , Distribütör Fiyatı   (Kutu), İskonto, Kutu İçi, Koli İçi, Palet İçi Adet
Otel Pastaları,,,,,,,,,,,
MM10641,Limonlu Cheesecake-600 Gr,600,600,"4,58 ","4,58 ","3,90 ","3,90 ",15%,1,12,420
MM10652,Frambuazlı Cheesecake-600 Gr,600,600,"4,58 ","4,58 ","3,90 ","3,90 ",15%,1,12,252
MM10647,Tiramisu-600 Gr,600,600,"4,38 ","4,38 ","3,72 ","3,72 ",15%,1,9,420
MM10649,Çikolatalı Pasta-600 Gr,600,600,"6,46 ","6,46 ","5,49 ","5,49 ",15%,1,9,420
MM10706,Orman Meyveli Pasta-600 Gr,600,600,"5,56 ","5,56 ","4,73 ","4,73 ",15%,1,9,252
MM11007,Dikdörtgen Red Velvet Pasta-665 Gram,665,665,"5,19 ","5,19 ","4,41 ","4,41 ",15%,1,12,252
MM11008,Dikdörtgen Siyah Profiterollü Pasta-600 Gram,600,600,"5,52 ","5,52 ","4,69 ","4,69 ",15%,1,12,252
MM11009,Dikdörtgen Tiramisu-630 Gram,630,630,"4,75 ","4,75 ","4,04 ","4,04 ",15%,1,12,420
MM11010,Dikdörtgen Brownıe-500 Gram,500,500,"7,50 ","7,50 ","6,38 ","6,38 ",15%,1,16,420
MM11027,Dikdörtgen Mozaik Pasta 650 G,650,650,"4,56 ","4,56 ","3,88 ","3,88 ",15%,1,12,420
MM11028,Dikdörtgen Fıstık Rüyası 630 G,630,630,"7,60 ","7,60 ","6,46 ","6,46 ",15%,1,12,252
MM11031,Dikdörtgen Ballı Cevizli Pasta 565 G,565,565,"5,35 ","5,35 ","4,55 ","4,55 ",15%,1,12,252
MM11168,Dikdörtgen Red Black-600 Gram,600,600,"4,90 ","4,90 ","4,16 ","4,16 ",15%,1,12,252
Açıklamalar;,,,,,,,,,,,
1- Fiyatlarımız KDV hariç fiyattır (KDV Oranı : %1 ),,,,,,,,,,,
2- Kutu Başı ± 50 gr  farklılık gösterebilir.,,,,,,,,,,,
3- Tarım ve Köy İşleri Bakanlığının TR-34-K-095890 ve 13.10.2014  tarihli izni ile üretilmiştir.,,,,,,,,,,,
4-Liste satış fiyatlarımız tavsiye niteliğindedir.,,,,,,,,,,,